,City,Cloudiness %,Country,Date,Humidity,Lat,Lon,Max Temperature (C),Wind Speed
0,Dikson,92,RU,1532562501,100,73.51,80.55,5.19,10.72
1,Punta Arenas,40,CL,1532559600,80,-53.16,-70.91,4.0,5.7
2,Serdobsk,80,RU,1532562501,74,52.46,44.21,19.34,4.47
3,Qaanaaq,32,GL,1532562502,90,77.48,-69.36,3.24,0.42
4,Cape Town,20,ZA,1532559600,76,-33.93,18.42,14.0,5.7
5,Dhidhdhoo,20,MV,1532562502,100,6.88,73.1,26.59,7.47
6,Skibbereen,40,IE,1532559600,93,51.55,-9.27,16.0,4.1
7,Bredasdorp,20,ZA,1532562460,94,-34.53,20.04,13.44,3.57
8,Porto Belo,90,BR,1532560800,100,-27.15,-48.54,18.0,5.1
9,Ushuaia,20,AR,1532559600,60,-54.81,-68.31,4.0,7.92
10,East London,92,ZA,1532562250,100,-33.02,27.91,18.34,1.77
11,Georgetown,75,GY,1532559600,100,6.8,-58.16,24.0,3.1
12,Starodub,76,RU,1532562504,95,52.58,32.76,18.19,1.52
13,Marawi,44,PH,1532562504,81,8.0,124.29,24.04,1.62
14,Port Elizabeth,75,US,1532561640,88,39.31,-74.98,25.0,2.67
15,Busselton,44,AU,1532562505,100,-33.64,115.35,15.59,7.97
16,Longyearbyen,75,NO,1532559000,66,78.22,15.63,10.0,4.6
17,Albany,90,US,1532559240,83,42.65,-73.75,25.0,5.1
18,Varhaug,20,NO,1532559000,87,58.61,5.65,15.0,2.97
19,Nara,75,JP,1532559600,79,34.68,135.8,31.0,1.0
20,Velke Mezirici,0,CZ,1532561400,82,49.36,16.01,19.0,0.5
21,Hermanus,20,ZA,1532562507,95,-34.42,19.24,6.94,1.57
22,Sao Filipe,24,CV,1532562507,100,14.9,-24.5,24.19,3.87
23,Itaituba,8,BR,1532562507,72,-4.26,-55.99,26.84,1.67
24,Torbay,75,CA,1532559600,83,47.66,-52.73,21.0,9.3
25,Narsaq,0,GL,1532559000,63,60.91,-46.05,14.0,3.6
26,Ilirska Bistrica,40,SI,1532561400,47,45.57,14.24,27.0,1.0
27,Mar del Plata,24,AR,1532562508,78,-46.43,-67.52,3.49,1.22
28,Iquitos,40,PE,1532559600,78,-3.75,-73.25,28.0,2.1
29,Berlevag,92,NO,1532562509,100,70.86,29.09,11.44,5.02
30,Bara,92,NG,1532562509,90,10.41,10.6,22.49,3.07
31,Clyde River,90,CA,1532561100,100,70.47,-68.59,2.0,3.6
32,Bezenchuk,24,RU,1532562509,58,52.99,49.43,18.84,4.22
33,Kruisfontein,8,ZA,1532562510,91,-34.0,24.73,12.54,1.67
34,Victoria,75,BN,1532559600,88,5.28,115.24,26.0,2.92
35,Coihaique,0,CL,1532559600,75,-45.58,-72.07,5.0,3.1
36,Bonavista,0,CA,1532562511,59,48.65,-53.11,22.09,6.57
37,Mzimba,0,MW,1532562511,84,-11.9,33.6,7.04,2.37
38,Luderitz,0,NA,1532562511,80,-26.65,15.16,12.69,3.12
39,Richards Bay,0,ZA,1532562512,88,-28.77,32.06,11.39,1.17
40,Omboue,64,GA,1532562512,100,-1.57,9.26,22.24,5.02
